repetitions,delays,calls of scheduler
1,0.0,3.0
2,0.0,5.0
3,0.0,7.0
4,0.0,9.0
5,0.0,11.0
10,0.0,21.0
30,0.0,61.0
50,0.0,101.0
70,0.0,141.0
80,0.0,161.0
100,0.0,201.0
300,0.0,601.0
500,0.0,1001.0
700,0.0,1401.0
900,0.0,1801.0
