repetitions,plain,enforcement
1,25979.6,25978.0
2,26225.2,26191.2
3,25984.8,26231.6
4,26182.8,26493.2
5,26070.4,26445.6
10,26179.2,26254.4
30,26511.6,26428.0
50,26952.8,26927.2
70,26729.6,26642.4
80,26629.2,26990.8
100,26926.8,27441.6
300,28454.4,28548.4
500,30420.4,30438.0
