repetitions,plain sequential,plain alternating,enforcement sequential,enforcement alternating,sequence length
1,0.0,0.0,0,0,2
2,0.0,0.0,0,0,4
3,0.0,0.0,0,0,6
4,0.0,0.0,0,0,8
5,0.0,0.0,0,0,10
10,0.0,0.0,0,0,20
30,0.0,0.0,0,0,60
50,0.1,0.1,0,0,100
70,1.8,0.75,0,0,140
80,0.0,0.0,0,0,160
