repetitions,percentage of delays
1,25.0
2,28.57142857142857
3,30.0
4,30.76923076923077
5,31.25
10,32.25806451612903
30,32.967032967032964
50,33.11258278145696
70,33.175355450236964
80,33.19502074688796
100,33.222591362126245
300,33.29633740288568
500,33.311125916055964
700,33.31746787244169
900,33.32099222510181
