repetitions,plain,enforcement
1,26082.8,26292.8
2,26176.4,25951.6
3,26066.8,26325.2
4,26049.2,26233.2
5,26355.2,26465.6
10,26238.8,26499.2
30,26446.0,26442.0
50,26513.6,26594.0
70,26740.0,27092.8
80,27076.4,27005.2
100,27027.2,27208.0
300,28414.8,28664.0
500,30457.2,31025.2
