repetitions,plain,enforcement
1,26272.0,25983.6
2,26074.8,26291.6
3,25896.4,26210.8
4,25934.8,26262.8
5,26318.0,26289.2
10,25934.4,26175.2
30,26200.0,26319.6
50,26349.6,27148.8
70,26798.8,26623.6
80,26724.8,27092.4
100,27280.4,27311.6
300,29475.6,30913.6
500,31906.8,35234.4
700,34628.0,40526.4
900,36952.0,45111.2
