repetitions,plain,enforcement
1,26152.0,25966.8
2,26017.2,26290.4
3,26404.0,26242.4
4,25875.2,26161.2
5,26306.4,26185.6
10,25988.0,26289.2
30,26482.4,26757.2
50,26872.8,27056.0
70,27336.0,27162.0
80,27415.2,27542.8
100,27915.2,27880.4
300,32316.4,32494.0
500,36882.8,37459.2
700,42234.0,43020.4
900,46408.8,46117.6
