repetitions,plain,enforcement
1,26034.4,26320.4
2,25958.0,26402.0
3,26450.4,26250.4
4,26066.8,26343.6
5,26055.6,26257.2
10,26524.8,26668.4
30,28049.2,28094.0
50,30330.4,31206.8
70,32505.2,33357.2
80,34415.2,34234.0
100,35771.2,35896.4
300,56242.8,56366.0
500,67721.2,69656.8
700,73674.4,72493.2
900,93505.6,92605.2
