repetitions,relative increase
1,-0.05992792267663815
2,-0.014809718028690607
3,0.00577760615043283
4,-0.0010322938905110387
5,-0.09035785403095609
10,0.07312360799711468
30,-0.016638391304024468
50,0.004563993342947954
70,0.019208915926029375
80,0.11737169020776658
100,0.013968846250535311
300,-0.011723387578215845
500,0.04174532031226341
